id,category,question,answer
qa-001,市场准入,泰国落地公司前期要准备哪些材料？,建议准备主体资质 董事股东信息 注册地址与业务范围说明 并先做行业准入核验。
qa-002,市场准入,越南设立贸易公司有哪些关键步骤？,先完成投资备案与主体设立 再办理进出口代码 税务登记 银行账户和发票体系。
qa-003,市场准入,马来西亚分公司和子公司怎么选？,分公司适合轻资产管理 子公司更利于风险隔离与融资合作 一般建议优先子公司。
qa-004,市场准入,菲律宾市场进入要先选哪类渠道？,建议先从侨商分销和跨境电商并行试点 再按复购和履约稳定性扩张线下网络。
qa-005,市场准入,印尼经营许可常见卡点是什么？,常见卡点是行业分类选择和地方许可衔接 建议提前确认KBLI分类与对应许可路径。
qa-006,市场准入,文莱市场适合什么切入方式？,文莱市场体量小 适合通过高客单精品分销和项目制合作切入 避免重资产投入。
qa-007,市场准入,缅甸市场进入前要重点评估什么？,重点评估政策稳定性 汇兑条件和本地合规伙伴可靠性 并设置退出与应急机制。
qa-008,市场准入,柬埔寨市场首批城市怎么选？,优先金边和西港 金边适合渠道拓展 西港适合港口物流与工程配套业务。
qa-009,市场准入,老挝市场做B2B还是B2C更合适？,通常先做B2B批发与项目配套更稳 再逐步测试B2C零售和电商渠道。
qa-010,市场准入,新加坡作为区域中心的优势是什么？,优势在于税务协定完善 金融结算便利 法务体系成熟 适合做区域总部与品牌管理。
qa-011,税务与架构,新加坡控股加本地运营架构怎么搭？,建议采用控股层 管理层 运营层分离结构 并建立关联交易与资金流闭环台账。
qa-012,税务与架构,预提税优化要先看哪些点？,先看双边税收协定 税率适用条件 实质经营要求和受益所有人认定标准。
qa-013,税务与架构,RCEP原产地规则在实务里怎么用？,先判定货物是否满足区域价值或税则转变规则 再准备原产地声明和单证留档。
qa-014,税务与架构,跨境服务费怎么定价更合规？,建议按可比交易法或成本加成法测算 并保留定价依据与董事会审批材料。
qa-015,税务与架构,境外利润汇回国内有哪些路径？,常见路径是分红 服务费和特许权使用费 不同路径税负和合规要求不同需分开测算。
qa-016,税务与架构,离岸公司一定要用吗？,不一定 关键看业务实质和合规成本 不建议仅为低税目的搭空壳结构。
qa-017,税务与架构,跨境电商账务分国核算怎么做？,建议按国家建立独立利润中心 分离广告 仓配 平台费与税费便于经营复盘。
qa-018,税务与架构,增值税和消费税在东盟怎么处理？,各国规则差异大 需按销售模式确认纳税义务地 并按平台与自营分别管理税务口径。
qa-019,税务与架构,外汇结算风险如何控制？,可通过多币种账户 远期锁汇和结算周期分层降低波动影响 并设阈值预警。
qa-020,税务与架构,资金拆借在跨境架构里怎么规范？,需签署正式借款协议 约定利率期限用途 并满足当地转移定价和资本弱化规则。
qa-021,供应链履约,海外仓选址优先看什么指标？,优先看订单密度 干线时效 仓租成本 清关效率和末端配送覆盖能力。
qa-022,供应链履约,东南亚多岛国家履约怎么设计？,建议中心仓加区域前置仓模式 核心城市当日或次日达 偏远地区合单发运。
