id,title,summary,image,date,source,content
dyn-001,东盟侨商合作项目启动,围绕跨境供应链与园区投资，首批签约 12 家侨资企业。,images/placeholders/carousel-1.svg,2026-03-30,玉林侨务办,本次签约重点聚焦制造协同、跨境物流与供应链金融，后续将分批推进项目落地。
dyn-002,印尼南洋侨团来访交流,重点对接新能源、农产品加工和跨境电商三类合作方向。,images/placeholders/carousel-2.svg,2026-03-28,南洋侨务联络站,围绕园区共建、资源互补、政策协同等方向进行专题会谈。
dyn-003,侨务服务数字化试点发布,上线企业需求对接、政策查询、在线会商等三项试点能力。,images/placeholders/generic-placeholder.svg,2026-03-26,玉林侨务数字平台,平台首期打通项目提报、诉求分发、服务评价的闭环流程，提升服务可追溯能力。
dyn-004,侨商产业链供需对接会召开,聚焦电子信息与食品加工两条产业链，形成 24 项对接意向。,images/placeholders/carousel-1.svg,2026-03-24,侨商服务中心,会议同步建立月度供需清单机制，后续将持续更新并组织专项路演。
dyn-005,跨境人才服务专窗上线,面向海外人才提供落地咨询、证照办理与政策匹配服务。,images/placeholders/carousel-2.svg,2026-03-22,人才工作专班,专窗采用一站式受理模式，缩短办理周期并提升反馈效率。
dyn-006,南洋市场专题研究报告发布,形成重点行业机会清单，为侨企布局提供决策参考。,images/placeholders/generic-placeholder.svg,2026-03-20,市场研究组,报告覆盖市场容量、竞争格局、准入政策等核心维度，支持项目研判。
dyn-007,侨资企业金融服务专场举办,围绕授信、汇兑和跨境结算推出一站式咨询服务。,images/placeholders/carousel-1.svg,2026-03-18,金融服务组,活动现场完成 30 余家企业初步需求登记并建立后续跟进清单。
dyn-008,东南亚农食合作路演举行,重点推介玉林预制菜与香料供应链合作机会。,images/placeholders/carousel-2.svg,2026-03-16,产业合作组,共达成 11 项意向合作并计划二季度开展企业互访。
dyn-009,侨青创新创业训练营开营,聚焦跨境电商与品牌出海实战课程培训。,images/placeholders/generic-placeholder.svg,2026-03-14,侨青联络站,首期报名学员超 120 人并形成导师结对机制。
dyn-010,海外侨团文化周启动,以非遗展演和文化交流提升侨乡影响力。,images/placeholders/carousel-1.svg,2026-03-12,文化推广中心,活动将覆盖 6 个重点城市并联动线上直播展示。
dyn-011,区域物流协同机制发布,推动广西至东盟冷链运输效率提升。,images/placeholders/carousel-2.svg,2026-03-10,交通协同专班,已落地首批试运行线路并进入稳定运营评估阶段。
dyn-012,侨务数据中台一期上线,实现动态、需求、服务数据统一管理与查询。,images/placeholders/generic-placeholder.svg,2026-03-08,数字治理组,平台新增多维检索和可视化看板模块，支撑业务协同。
